ID,Category,Test,Steps,Expected Result,Pass/Fail,Notes
48,Review,Empty state when no review,Navigate before scanning,Shows "Scan your workspace" message,,
49,Drift,Empty state displays,Navigate to Drift Report with no snapshot,Shows ◈ icon + "No previous snapshot loaded" message,,
50,Drift,Upload triggers diff,Upload a previous snapshot JSON,Drift report appears with file changes and finding diffs,,
51,Drift,File changes shown,Check drift report after upload,Added / removed / changed files listed with deltas,,
52,Drift,Health score delta,Check drift report header,Shows score change (e.g. -10),,
53,Editor,Opens from Fix button,Click Fix → on any finding,Panel slides in from right with backdrop overlay,,
54,Editor,Correct file loaded,Check editor content,File name matches the finding's file,,
55,Editor,View mode shows rendered markdown,Check initial editor state,Markdown rendered with size bar,,
56,Editor,Edit mode shows textarea,Click Edit button,Textarea with live char count and delta,,
57,Editor,Char count updates live,Type in editor,Character count changes in real time with +/- delta,,
58,Editor,API key detection warning,Paste a fake API key pattern,Warning appears about API key,,
59,Editor,Save works (Chrome/Edge),Click Save in edit mode,File System Access API save dialog or clipboard copy,,
60,Editor,Revert works,Click Revert after editing,Content returns to pre-edit state,,
61,Editor,Re-scan prompt after save,Save a change,Prompt: "Re-scan to update findings?" with Re-scan / Later buttons,,
62,Editor,Re-scan updates findings,Click Re-scan,Review panel updates with new analysis,,
63,Editor,Close button works,Click X or click backdrop,Editor panel closes,,
64,Scan,Directory picker appears,Navigate to /map (no data),Folder picker component visible,,
65,Scan,Text paste fallback,Click "Using SSH or headless server?",Expandable textarea for pasting tree output,,
66,Scan,Quick-start guide shows,Check below input area,3 instruction cards (01 02 03) with tip below,,
67,Scan,Scan produces results,Select .openclaw directory,Map generates and sidebar populates,,
68,Scan,File content toggle,Toggle "Read File Contents" during scan,Richer data when enabled,,
69,Demo,Demo mode loads,Navigate to /map?demo=true,Full demo data loads automatically,,
70,Demo,Demo badge shows,Check top bar in demo mode,Blue "Demo: Bub's workspace" pill badge visible,,
71,Demo,All views populated in demo,Click through all 6 views,All views show demo data,,
72,Navigation,/cost-tracking redirects,Navigate to /cost-tracking,Redirects to /map with Cost Tracking view active,,
73,Navigation,?view=costs param works,Navigate to /map?view=costs,Loads directly into Cost Tracking view,,
74,Navigation,New Map resets everything,Click New Map in top bar,All state cleared — back to input screen,,
75,Colors,Text contrast on cards,Inspect any text on #111827 bg,Primary text (#f1f5f9) clearly readable,,
76,Colors,Muted text readable,Check labels and hints,Muted text (#7a8a9b) visible — not washed out,,
77,Colors,Border visibility,Check card borders,Borders (#506880) visible against dark backgrounds,,
78,Colors,Accent color consistent,Check links and active states,All accent elements use #7db8fc consistently,,
79,Colors,Severity colors distinct,Check findings list,Red / amber / blue dots clearly distinguishable,,
80,A11y,Focus outlines visible,Tab through all interactive elements,Blue outline (2px #7db8fc) appears on focused elements,,
81,A11y,Keyboard sidebar navigation,Tab + Enter through sidebar,Can navigate all sidebar items with keyboard only,,
82,A11y,aria-current on active nav,Inspect active sidebar item,aria-current="page" attribute present,,
83,A11y,Screen reader landmarks,Test with screen reader or inspect,Navigation / main / region landmarks present,,
84,A11y,Budget bar has progressbar role,Inspect budget bar element,role="progressbar" with aria-valuenow,,
